STATION,STATION_NAME,DATE,HPCP
COOP:366111,MURRYSVILLE 2 SW PA US,20060423 07:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060423 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060424 03:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060425 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060425 19:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060501 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20060501 10:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060501 11:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060502 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060503 13:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060511 09:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060511 13:00,0.5
COOP:366111,MURRYSVILLE 2 SW PA US,20060511 15:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060511 16:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060511 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060511 19:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060511 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060511 21:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060514 22:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060515 04:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060515 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060515 06:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060515 07:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060515 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060515 09:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060515 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060515 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060516 15:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060516 17:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060516 18:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060516 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060517 06:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060517 13:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060517 14:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060517 16:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060518 07:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060518 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060518 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060519 08:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060519 21:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060520 00:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060526 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060526 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060526 20:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060527 00:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060601 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20060602 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060602 16:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060602 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060602 20:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060602 23:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060603 00:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060619 09:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060619 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060620 00:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060620 01:00,0.3
COOP:366111,MURRYSVILLE 2 SW PA US,20060622 04:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060622 05:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060622 06:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060622 07:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060623 16:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060625 03:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060625 04:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060625 15:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060627 10:00,0.5
COOP:366111,MURRYSVILLE 2 SW PA US,20060627 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060627 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060628 21:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060701 01:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20060704 07:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060704 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060704 12:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060705 03:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060705 04:00,0.3
COOP:366111,MURRYSVILLE 2 SW PA US,20060705 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060705 06:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060705 07:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060705 12:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060801 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060801 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060901 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060901 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20061001 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20061001 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20061101 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20061101 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20061201 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20061201 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070101 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070101 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070201 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070201 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070301 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070301 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070401 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070401 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070501 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20070501 01:00,999.99
