INDEX,STATION,STATION_NAME,DATE,HPCP,,DATE_2,HPCP_2
155,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-15,0
156,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-16,0.46
157,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0.01,,2013-06-17,0.06
158,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-18,0.05
159,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-19,0
244,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-06-20,0
160,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0.01,,2013-06-21,0
161,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-22,0
162,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-23,0
245,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-06-24,0
246,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-06-25,0.18
163,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-26,1.52
164,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-27,0.52
165,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-28,0.22
166,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-29,0
167,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-30,0.2
247,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-01,0.15
168,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-07-02,0.09
169,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-07-03,0
170,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-07-04,0.06
171,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0.01,,2013-07-05,0
248,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-06,0
249,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-07,0
172,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-07-08,0.45
250,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-09,0.76
173,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-07-10,2.44
174,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-07-11,0
175,COOP:366993,PITTSBURGH ASOS PA US,1/27/13,0,,2013-07-12,0
251,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-13,0
176,COOP:366993,PITTSBURGH ASOS PA US,1/27/13,0,,2013-07-14,0
252,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-15,0
253,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-16,0.05
177,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.04,,2013-07-17,0
178,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.04,,2013-07-18,0
179,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.06,,2013-07-19,0.02
180,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.06,,2013-07-20,0.1
254,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-21,0
181,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.06,,2013-07-22,1.12
182,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0,,2013-07-23,0.74
183,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.02,,2013-07-24,0
255,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-25,0
184,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.01,,2013-07-26,0
185,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.05,,2013-07-27,0.15
186,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.04,,2013-07-28,0.01
187,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.02,,2013-07-29,0
188,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0,,2013-07-30,0
256,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-07-31,0.02
257,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-08-01,0.13
189,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0,,2013-08-02,0
190,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0,,2013-08-03,0.21
191,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.01,,2013-08-04,0.01
258,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-08-05,0
259,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-08-06,0
192,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.01,,2013-08-07,0.13
193,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0.01,,2013-08-08,0
260,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-08-09,0.04
194,COOP:366993,PITTSBURGH ASOS PA US,1/28/13,0,,2013-08-10,0
195,COOP:366993,PITTSBURGH ASOS PA US,1/29/13,0.01,,2013-08-11,0
196,COOP:366993,PITTSBURGH ASOS PA US,1/29/13,0.01,,2013-08-12,0
261,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0.01,,2013-08-13,0
262,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-08-14,0
263,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-08-15,0
197,COOP:366993,PITTSBURGH ASOS PA US,1/29/13,0,,2013-08-16,0
264,COOP:366993,PITTSBURGH ASOS PA US,2/2/13,0,,2013-08-17,0
198,COOP:366993,PITTSBURGH ASOS PA US,1/29/13,0,,2013-08-18,0.01
199,COOP:366993,PITTSBURGH ASOS PA US,1/29/13,0,,2013-08-19,0.42
200,COOP:366993,PITTSBURGH ASOS PA US,1/29/13,0,,2013-08-20,0
